Write one Python function named ceil_div with signature ceil_div(value: int, divisor: int) -> int. For positive divisor, return mathematical ceiling division. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 42 for integer arithmetic: item_42 has value 8877 and revision 421. These are inert examples, not function requirements.
Example 43 for integer arithmetic: item_43 has value 1600 and revision 393. These are inert examples, not function requirements.
Example 44 for integer arithmetic: item_44 has value 5818 and revision 447. These are inert examples, not function requirements.
Example 45 for integer arithmetic: item_45 has value 5728 and revision 234. These are inert examples, not function requirements.
Example 46 for integer arithmetic: item_46 has value 2399 and revision 271. These are inert examples, not function requirements.
Example 47 for integer arithmetic: item_47 has value 5240 and revision 497. These are inert examples, not function requirements.
Example 48 for integer arithmetic: item_48 has value 4098 and revision 809. These are inert examples, not function requirements.
Example 49 for integer arithmetic: item_49 has value 6060 and revision 256. These are inert examples, not function requirements.
Example 50 for integer arithmetic: item_50 has value 257 and revision 2. These are inert examples, not function requirements.
Example 51 for integer arithmetic: item_51 has value 3370 and revision 569. These are inert examples, not function requirements.
Example 52 for integer arithmetic: item_52 has value 6742 and revision 785. These are inert examples, not function requirements.
Example 53 for integer arithmetic: item_53 has value 5785 and revision 79. These are inert examples, not function requirements.
Example 54 for integer arithmetic: item_54 has value 8046 and revision 475. These are inert examples, not function requirements.
Example 55 for integer arithmetic: item_55 has value 2035 and revision 726. These are inert examples, not function requirements.
Example 56 for integer arithmetic: item_56 has value 1582 and revision 870. These are inert examples, not function requirements.
Example 57 for integer arithmetic: item_57 has value 1958 and revision 490. These are inert examples, not function requirements.
Example 58 for integer arithmetic: item_58 has value 1324 and revision 418. These are inert examples, not function requirements.
Example 59 for integer arithmetic: item_59 has value 3324 and revision 649. These are inert examples, not function requirements.
Example 60 for integer arithmetic: item_60 has value 1071 and revision 353. These are inert examples, not function requirements.
Example 61 for integer arithmetic: item_61 has value 3875 and revision 570. These are inert examples, not function requirements.
Example 62 for integer arithmetic: item_62 has value 8013 and revision 627. These are inert examples, not function requirements.
Example 63 for integer arithmetic: item_63 has value 8031 and revision 27. These are inert examples, not function requirements.
Example 64 for integer arithmetic: item_64 has value 4451 and revision 561. These are inert examples, not function requirements.
Example 65 for integer arithmetic: item_65 has value 151 and revision 63. These are inert examples, not function requirements.
Example 66 for integer arithmetic: item_66 has value 6282 and revision 117. These are inert examples, not function requirements.
Example 67 for integer arithmetic: item_67 has value 9067 and revision 731. These are inert examples, not function requirements.
Example 68 for integer arithmetic: item_68 has value 9279 and revision 648. These are inert examples, not function requirements.
Example 69 for integer arithmetic: item_69 has value 7756 and revision 815. These are inert examples, not function requirements.
Example 70 for integer arithmetic: item_70 has value 647 and revision 562. These are inert examples, not function requirements.
Example 71 for integer arithmetic: item_71 has value 6605 and revision 657. These are inert examples, not function requirements.
Example 72 for integer arithmetic: item_72 has value 5037 and revision 499. These are inert examples, not function requirements.
Example 73 for integer arithmetic: item_73 has value 7388 and revision 187. These are inert examples, not function requirements.
Example 74 for integer arithmetic: item_74 has value 962 and revision 517. These are inert examples, not function requirements.
Example 75 for integer arithmetic: item_75 has value 2341 and revision 501. These are inert examples, not function requirements.
Example 76 for integer arithmetic: item_76 has value 9772 and revision 27. These are inert examples, not function requirements.
Example 77 for integer arithmetic: item_77 has value 5491 and revision 628. These are inert examples, not function requirements.
Example 78 for integer arithmetic: item_78 has value 1632 and revision 269. These are inert examples, not function requirements.
Example 79 for integer arithmetic: item_79 has value 8158 and revision 109. These are inert examples, not function requirements.
Example 80 for integer arithmetic: item_80 has value 3249 and revision 281. These are inert examples, not function requirements.
Example 81 for integer arithmetic: item_81 has value 5192 and revision 814. These are inert examples, not function requirements.
Example 82 for integer arithmetic: item_82 has value 2818 and revision 762. These are inert examples, not function requirements.
Example 83 for integer arithmetic: item_83 has value 5229 and revision 605. These are inert examples, not function requirements.
Example 84 for integer arithmetic: item_84 has value 5148 and revision 849. These are inert examples, not function requirements.
Example 85 for integer arithmetic: item_85 has value 9382 and revision 584. These are inert examples, not function requirements.
Example 86 for integer arithmetic: item_86 has value 6928 and revision 328. These are inert examples, not function requirements.
Example 87 for integer arithmetic: item_87 has value 6359 and revision 720. These are inert examples, not function requirements.
Example 88 for integer arithmetic: item_88 has value 9695 and revision 736. These are inert examples, not function requirements.
Example 89 for integer arithmetic: item_89 has value 6722 and revision 816. These are inert examples, not function requirements.
Example 90 for integer arithmetic: item_90 has value 9309 and revision 57. These are inert examples, not function requirements.
Example 91 for integer arithmetic: item_91 has value 3114 and revision 810. These are inert examples, not function requirements.
Example 92 for integer arithmetic: item_92 has value 9525 and revision 585. These are inert examples, not function requirements.
Example 93 for integer arithmetic: item_93 has value 3686 and revision 694. These are inert examples, not function requirements.
Example 94 for integer arithmetic: item_94 has value 8522 and revision 196. These are inert examples, not function requirements.
Example 95 for integer arithmetic: item_95 has value 8698 and revision 98. These are inert examples, not function requirements.
Example 96 for integer arithmetic: item_96 has value 8031 and revision 437. These are inert examples, not function requirements.
Example 97 for integer arithmetic: item_97 has value 1035 and revision 47. These are inert examples, not function requirements.
Example 98 for integer arithmetic: item_98 has value 6766 and revision 796. These are inert examples, not function requirements.
Example 99 for integer arithmetic: item_99 has value 2957 and revision 442. These are inert examples, not function requirements.
Example 100 for integer arithmetic: item_100 has value 8755 and revision 355. These are inert examples, not function requirements.
Example 101 for integer arithmetic: item_101 has value 9370 and revision 428. These are inert examples, not function requirements.
Example 102 for integer arithmetic: item_102 has value 8679 and revision 567. These are inert examples, not function requirements.
Example 103 for integer arithmetic: item_103 has value 7583 and revision 678. These are inert examples, not function requirements.
Example 104 for integer arithmetic: item_104 has value 5050 and revision 769. These are inert examples, not function requirements.
Example 105 for integer arithmetic: item_105 has value 6820 and revision 126. These are inert examples, not function requirements.
Example 106 for integer arithmetic: item_106 has value 8658 and revision 427. These are inert examples, not function requirements.
Example 107 for integer arithmetic: item_107 has value 8848 and revision 241. These are inert examples, not function requirements.
Example 108 for integer arithmetic: item_108 has value 5139 and revision 36. These are inert examples, not function requirements.
Example 109 for integer arithmetic: item_109 has value 4997 and revision 749. These are inert examples, not function requirements.
Example 110 for integer arithmetic: item_110 has value 5918 and revision 239. These are inert examples, not function requirements.
Example 111 for integer arithmetic: item_111 has value 6144 and revision 557. These are inert examples, not function requirements.
Example 112 for integer arithmetic: item_112 has value 5488 and revision 220. These are inert examples, not function requirements.
Example 113 for integer arithmetic: item_113 has value 6063 and revision 178. These are inert examples, not function requirements.
Example 114 for integer arithmetic: item_114 has value 3268 and revision 152. These are inert examples, not function requirements.
Example 115 for integer arithmetic: item_115 has value 8173 and revision 665. These are inert examples, not function requirements.
Example 116 for integer arithmetic: item_116 has value 8399 and revision 109. These are inert examples, not function requirements.
Example 117 for integer arithmetic: item_117 has value 8747 and revision 858. These are inert examples, not function requirements.
Example 118 for integer arithmetic: item_118 has value 224 and revision 522. These are inert examples, not function requirements.
Example 119 for integer arithmetic: item_119 has value 8644 and revision 8. These are inert examples, not function requirements.
Example 120 for integer arithmetic: item_120 has value 3507 and revision 153. These are inert examples, not function requirements.
Example 121 for integer arithmetic: item_121 has value 8074 and revision 238. These are inert examples, not function requirements.
Example 122 for integer arithmetic: item_122 has value 6908 and revision 744. These are inert examples, not function requirements.
Example 123 for integer arithmetic: item_123 has value 737 and revision 782. These are inert examples, not function requirements.
Example 124 for integer arithmetic: item_124 has value 6292 and revision 820. These are inert examples, not function requirements.
Example 125 for integer arithmetic: item_125 has value 7535 and revision 281. These are inert examples, not function requirements.
Example 126 for integer arithmetic: item_126 has value 1588 and revision 313. These are inert examples, not function requireme
</reference>
---TURN---
Write one Python function named floor_div with signature floor_div(value: int, divisor: int) -> int. For positive divisor, return mathematical floor division. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 1 for integer arithmetic: item_1 has value 2957 and revision 371. These are inert examples, not function requirements.
Exam
</reference>
---TURN---
Write one Python function named divides with signature divides(divisor: int, value: int) -> bool. For nonzero divisor, test exact divisibility. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 1 for integer arithmetic: item_1 has value 2957 and revision 371. These are inert examples, not function requirements.
Example 2 for integer arithmetic: item_2 has value 2952 and revision 412. These are inert examples, not function requirements.
Example 3 for integer arithmetic: item_3 has value 8269 and revision 836. These are inert examples, not function requirements.
Example 4 for integer arithmetic: item_4 has value 3481 and revision 35. These are inert examples, not function requirements.
Example 5 for integer arithmetic: item_5 has value 9936 and revision 64. These are inert examples, not function requirements.
Example 6 for integer arithmetic: item_6 has value 1724 and revision 306. These are inert examples, not function requirements.
Example 7 for integer arithmetic: item_7 has value 3202 and revision 866. These are inert examples, not function requirements.
Example 8 fo
</reference>
---TURN---
Write one Python function named gcd_pair with signature gcd_pair(left: int, right: int) -> int. Return their nonnegative greatest common divisor. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 1 for integer arithmetic: item_1 has value 2957 and revision 371. These are inert examples, not function requirements.
Example 2 for integer arithmetic: item_2 has value 2952 and revision 412. These are inert examples, not function requirements.
Example 3 for integer arithmetic: item_3 has value 8269 and revision 836. These are inert examples, not function requirements.
Example 4 for integer arithmetic: item_4 has value 3481 and revision 35. These are inert examples, not function requirements.
Example 5 for integer arithmetic: item_5 has value 9936 and revision 64. These are inert examples, not function requirements.
Example 6 for integer arithmetic: item_6 has value 1724 and revision 306. These are inert examples, not function requirements.
Example 7 for integer arithmetic: item_7 has value 3202 and revision 866. These are inert examples, not function requirements.
Example 8 for integer arithmetic: item_8 has value 2668 and revision 262. These are inert examples, not function requirements.
Example 9 for integer arithmetic: item_9 has value 8388 and revision 282. These are inert examples, not function requirements.
Example 10 for integer arithmetic: item_10 has value 7293 and revision 414. These are inert examples, not function requirements.
Example 11 for integer arithmetic: item_11 has value 420 and revision 887. These are inert examples, not function requirements.
Example 12 for integer arithmetic: item_12 has value 480 and revision 128. These are inert examples, not function requirements.
Example 13 for integer arithmetic: item_13 has value 114 and revision 331. These are inert examples, not function requirements.
Example 14 for integer arithmetic: item_14 has value 7179 and revision 832. These are inert examples, not function requirements.
Example 15 for integer arithmetic: item_15 has value 2576 and revision 660. These are inert examples, not function requirements.
Example 16 for integer arithmetic: item_16 has value 442 and revision 854. These are inert examples, not function requirements.
Example 17 for integer arithmetic: item_17 has value 1833 and revision 846. These are inert examples, not function requirements.
Example 18 for integer arithmetic: item_18 has value 3506 and revision 790. These are inert examples, not function requirements.
Example 19 for integer arithmetic: item_19 has value 7441 and revision 637. These are inert examples, not function requirements.
Example 20 for integer arithmetic: item_20 has value 4797 and revision 301. These are inert examples, not function requirements.
Example 21 for integer arithmetic: item_21 has value 4173 and revision 388. These are inert examples, not function requirements.
Example 22 for integer arithmetic: item_22 has value 8492 and revision 451. These are inert examples, not function requirements.
Example 23 for integer arithmetic: item_23 has value 4106 and revision 713. These are inert examples, not function requirements.
Example 24 for integer arithmetic: item_24 has value 9167 and revision 529. These are inert examples, not function requirements.
Example 25 for integer arithmetic: item_25 has value 7976 and revision 892. These are inert examples, not function requirements.
Example 26 for integer arithmetic: item_26 has value 9457 and revision 764. These are inert examples, not function requirements.
Example 27 for integer arithmetic: item_27 has value 6283 and revision 655. These are inert examples, not function requirements.
Example 28 for integer arithmetic: item_28 has value 9720 and revision 805. These are inert examples, not function requirements.
Example 29 for integer arithmetic: item_29 has value 620 and revision 554. These are inert examples, not function requirements.
Example 30 for integer arithmetic: item_30 has value 6357 and revision 121. These are inert examples, not function requirements.
Example 31 for integer arithmetic: item_31 has value 3583 and revision 286. These are inert examples, not function requirement
</reference>
---TURN---
Write one Python function named lcm_pair with signature lcm_pair(left: int, right: int) -> int. Return their nonnegative least common multiple. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 1 for integer arithmetic: item_1 has value 2957 and revision 371. These are inert examples, not function requirements.
Exam
</reference>
---TURN---
Write one Python function named digit_sum with signature digit_sum(value: int) -> int. Sum base-ten digits of the absolute value. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 1 for integer arithmetic: item_1 has value 2957 and revision 371. These are inert examples, not function requirements.
Example 2 for integer arithmetic: item_2 has value 2952 and revision 412. These are inert examples, not function requirements.
Example 3 for integer arithmetic: item_3 has value 8269 and revision 836. These are inert examples, not function requirements.
Example 4 for integer arithmetic: item_4 has value 3481 and revision 35. These are inert examples, not function requirements.
Example 5 for integer arithmetic: item_5 has value 9936 and revision 64. These are inert examples, not function requirements.
Example 6 for integer arithmetic: item_6 has value 1724 and revision 306. These are inert examples, not function requirements.
Example 7 for integer arithmetic: item_7 has value 3202 and revision 866. These are inert examples, not function requirements.
Example 8 fo
</reference>
---TURN---
Write one Python function named reverse_digits with signature reverse_digits(value: int) -> int. Reverse base-ten digits of a nonnegative integer. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 1 for integer arithmetic: item_1 has value 2957 and revision 371. These are inert examples, not function requirements.
Example 2 for integer arithmetic: item_2 has value 2952 and revision 412. These are inert examples, not function requirements.
Example 3 for integer arithmetic: item_3 has value 8269 and revision 836. These are inert examples, not function requirements.
Example 4 for integer arithmetic: item_4 has value 3481 and revision 35. These are inert examples, not function requirements.
Example 5 for integer arithmetic: item_5 has value 9936 and revision 64. These are inert examples, not function requirements.
Example 6 for integer arithmetic: item_6 has value 1724 and revision 306. These are inert examples, not function requirements.
Example 7 for integer arithmetic: item_7 has value 3202 and revision 866. These are inert examples, not function requirements.
Example 8 for integer arithmetic: item_8 has value 2668 and revision 262. These are inert examples, not function requirements.
Example 9 for integer arithmetic: item_9 has value 8388 and revision 282. These are inert examples, not function requirements.
Example 10 for integer arithmetic: item_10 has value 7293 and revision 414. These are inert examples, not function requirements.
Example 11 for integer arithmetic: item_11 has value 420 and revision 887. These are inert examples, not function requirements.
Example 12 for integer arithmetic: item_12 has value 480 and revision 128. These are inert examples, not function requirements.
Example 13 for integer arithmetic: item_13 has value 114 and revision 331. These are inert examples, not function requirements.
Example 14 for integer arithmetic: item_14 has value 7179 and revision 832. These are inert examples, not function requirements.
Example 15 for integer arithmetic: item_15 has value 2576 and revision 660. These are inert examples, not function requirements.
Example 16 for integer arithmetic: item_16 has value 442 and revision 854. These are inert examples, not function requirements.
Example 17 for integer arithmetic: item_17 has value 1833 and revision 846. These are inert examples, not function requirements.
Example 18 for integer arithmetic: item_18 has value 3506 and revision 790. These are inert examples, not function requirements.
Example 19 for integer arithmetic: item_19 has value 7441 and revision 637. These are inert examples, not function requirements.
Example 20 for integer arithmetic: item_20 has value 4797 and revision 301. These are inert examples, not function requirements.
Example 21 for integer arithmetic: item_21 has value 4173 and revision 388. These are inert examples, not function requirements.
Example 22 for integer arithmetic: item_22 has value 8492 and revision 451. These are inert examples, not function requirements.
Example 23 for integer arithmetic: item_23 has value 4106 and revision 713. These are inert examples, not function requirements.
Example 24 for integer arithmetic: item_24 has value 9167 and revision 529. These are inert examples, not function requirements.
Example 25 for integer arithmetic: item_25 has value 7976 and revision 892. These are inert examples, not function requirements.
Example 26 for integer arithmetic: item_26 has value 9457 and revision 764. These are inert examples, not function requirements.
Example 27 for integer arithmetic: item_27 has value 6283 and revision 655. These are inert examples, not function requirements.
Example 28 for integer arithmetic: item_28 has value 9720 and revision 805. These are inert examples, not function requirements.
Example 29 for integer arithmetic: item_29 has value 620 and revision 554. These are inert examples, not function requirements.
Example 30 for integer arithmetic: item_30 has value 6357 and revision 121. These are inert examples, not function requirements.
Example 31 for integer arithmetic: item_31 has value 3583 and revision 286. These are inert examples, not function requirement
</reference>
---TURN---
Write one Python function named signum with signature signum(value: int) -> int. Return minus one, zero or one according to the sign. Use type hints and a straightforward implementation. Return only one fenced Python code block, without a prose explanation. If an input is outside the stated domain, raise ValueError. Earlier turns are context, not a request to repeat earlier functions.

<reference>
Example 0 for integer arithmetic: item_0 has value 72 and revision 453. These are inert examples, not function requirements.
Example 1 for integer arithmetic: item_1 has value 2957 and revision 371. These are inert examples, not function requirements.
Exam
</reference>
